replicate,budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set
68,1e+22,2048,exponential,0.4,5.643922138900138,249.38066615421428,1.0,2.1635718814331817,8.444910376328606e+21,5.765058816906996e+20,9.785837419806942e+20,1e+22,0.0,0.8444910376328606,0.05765058816906996,0.09785837419806942,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
71,1e+19,2048,exponential,0.4,0.12942960039561213,10.000000000000002,0.5557478155395552,3.3005699849407195,7.76577602373673e+18,5.301436432204274e+17,1.7040803330428424e+18,9.999999999999998e+18,2.220446049250313e-16,0.7765776023736731,0.05301436432204275,0.17040803330428428,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
71,1e+21,2048,exponential,0.4,2.3226653103069603,53.15922130700958,1.0,2.377930695582589,7.408264755163308e+20,5.057375406191485e+19,2.0859977042175443e+20,1e+21,0.0,0.7408264755163307,0.05057375406191485,0.20859977042175443,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
71,1e+22,2048,exponential,0.4,5.641198937087262,249.4892650475138,1.0,2.1654090356712206,8.444511460804302e+21,5.7647864905757386e+20,9.790098901381231e+20,9.999999999999998e+21,2.220446049250313e-16,0.8444511460804304,0.05764786490575739,0.09790098901381233,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
75,1e+19,2048,exponential,0.4,0.12783976962822577,10.0,0.5616922883124138,3.315781526606279,7.670386177693546e+18,5.236316963972128e+17,1.8059821259092408e+18,1e+19,0.0,0.7670386177693546,0.05236316963972128,0.18059821259092407,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
75,1e+21,2048,exponential,0.4,2.3225348151221903,53.16158505921048,1.0,2.3800559813795354,7.408177927625761e+20,5.057316131925853e+19,2.0860904591816537e+20,1e+21,0.0,0.7408177927625761,0.05057316131925853,0.20860904591816537,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
75,1e+22,2048,exponential,0.4,5.640252931906042,249.52701304124093,1.0,2.1675367451052714,8.444372801373699e+21,5.764691832404446e+20,9.791580153858555e+20,1e+22,0.0,0.84443728013737,0.05764691832404446,0.09791580153858555,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
79,1e+19,2048,exponential,0.4,0.12812460614406443,10.0,0.5606427388828253,3.3176480590594872,7.687476368643866e+18,5.2479838676608794e+17,1.7877252445900447e+18,9.999999999999998e+18,2.220446049250313e-16,0.7687476368643867,0.052479838676608805,0.1787725244590045,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
79,1e+21,2048,exponential,0.4,2.322755564479039,53.15758659188704,1.0,2.384205091119637,7.408324803034918e+20,5.057416398871839e+19,2.085933557077898e+20,1e+21,0.0,0.7408324803034918,0.05057416398871838,0.2085933557077898,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
79,1e+22,2048,exponential,0.4,5.640776088158757,249.5061363750528,1.0,2.1716994535917746,8.444449487479654e+21,5.764744183452778e+20,9.790760941750675e+20,9.999999999999998e+21,2.220446049250313e-16,0.8444449487479655,0.05764744183452779,0.09790760941750676,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
